Prospect_ID,Campaign_ID,Company,Job_Title,Score,Source,Lead_Status
18258198,2013,Brock Tech,Chief of Digital Marketing,65,Website,Open
18441354,2005,Myxable Co.,Financial Analyst,66,Twitter,Open
18642577,2009,Polymeris,Procurement Manager,60,Website,Qualified
18664142,2009,HeidieX,Procurement Manager,65,Instagram,Open
18344212,2013,Myxable Co.,Senior Director of B2B Marketing,72,Instagram,Closed
18163974,2005,Gooyer,Contingent Worker,95,Website,Contacting
18426335,2005,Brock Tech,Procurement Manager,96,Website,Qualified
18700999,2000,WestLand's Incorporated,CEO,66,Website,Closed
18639262,2019,Marxel,VP of Daily Operations,50,Facebook,Closed
18699388,2000,WestLand's Incorporated,Financial Analyst,92,Website,Closed
18661331,2005,Polymeris,Head of Human Resources,97,Instagram,Closed
18488346,2001,Lexinton Rig Inc,Business Analyst,58,Webinar,Open
18574400,2019,Bryxham,Procurement Manager,55,Website,Contacting
18759613,2019,Bryxham,Financial Analyst,82,Website,Contacting
18498146,2016,Myxable Co.,Financial Analyst,41,Twitter,Closed
18321473,2004,Gooyer,CEO,68,Instagram,Open
18270307,2009,Myxable Co.,VP of Business,80,Twitter,Qualified
18911540,2004,Lexinton Rig Inc,Business Analyst,40,Website,Qualified
18247652,2016,Brock Tech,Data Scientist,72,Website,Closed
18784606,2016,Marxel,President,74,Facebook,Qualified
18363757,2016,Bryxham,Contingent Worker,53,Facebook,Open
18744897,2013,Landon's  ,VP of Business,65,Instagram,Closed
18401047,2019,Landon's  ,VP of Business,87,Webinar,Contacting
18944899,2001,Lexinton Rig Inc,Procurement Manager,81,Webinar,Closed
18455014,2005,Brock Tech,VP of Business,79,Facebook,Open
18755846,2000,Regalchain,Head of Learning and Development,48,LinkedIn,Contacting
18530466,2019,Marxel,Manager of Business Development,89,LinkedIn,Open
18511544,2009,Landon's  ,CEO,45,Instagram,Closed
18394646,2004,Landon's  ,CEO,58,Twitter,Open
18337533,2013,HeidieX,Senior Director of B2B Marketing,63,Website,Open
18280877,2005,Gooyer,CEO,50,Webinar,Contacting
18836865,2004,Polymeris,Procurement Manager,81,Webinar,Contacting
18794399,2001,Marxel,Procurement Manager,73,LinkedIn,Open
18804702,2000,Brock Tech,VP of Daily Operations,40,Webinar,Contacting
18329223,2005,WestLand's Incorporated,VP of Daily Operations,54,Website,Closed
18449143,2009,WestLand's Incorporated,Procurement Manager,93,Email,Open
18797878,2009,Polymeris,Head of Learning and Development,37,Facebook,Qualified
18864324,2013,Bryxham,Business Analyst,62,Website,Contacting
18771718,2019,WestLand's Incorporated,CEO,44,Email,Open
18950229,2004,Gooyer,CEO,87,Twitter,Contacting
18277470,2019,Landon's  ,Contingent Worker,94,Webinar,Qualified
18924380,2001,Circuit City,Senior Director of B2B Marketing,47,Twitter,Closed
18439895,2009,HeidieX,Head of Learning and Development,95,Webinar,Closed
18479144,2005,Lexinton Rig Inc,Head of Human Resources,73,LinkedIn,Closed
18651491,2016,WestLand's Incorporated,Head of Learning and Development,68,Website,Contacting
18655461,2009,Landon's  ,Procurement Manager,50,Facebook,Closed
18217185,2019,Circuit City,Head of Human Resources,91,Facebook,Qualified
18953603,2000,Circuit City,Manager of Business Development,98,LinkedIn,Qualified
18856368,2016,Gooyer,Chief of Digital Marketing,43,Facebook,Contacting
18441741,2001,Regalchain,VP of Daily Operations,83,Website,Open
18524463,2016,Gooyer,Head of Human Resources,73,Twitter,Qualified
18719385,2016,Landon's  ,Financial Analyst,58,Website,Qualified
18381469,2009,Polymeris,CEO,46,Facebook,Open
18279121,2004,Brock Tech,Procurement Manager,44,LinkedIn,Qualified
18576127,2004,Polymeris,Chief of Digital Marketing,80,Email,Qualified
18716417,2004,Lexinton Rig Inc,Chief of Digital Marketing,89,Instagram,Closed
18657048,2019,WestLand's Incorporated,Director of Marketing,43,LinkedIn,Open
18629792,2005,Marxel,Contingent Worker,39,Website,Closed
18445956,2001,Myxable Co.,CEO,64,Facebook,Closed
18221849,2013,Lexinton Rig Inc,Chief of Digital Marketing,97,Facebook,Closed
18390269,2019,WestLand's Incorporated,Data Scientist,59,Email,Open
18939854,2013,WestLand's Incorporated,VP of Daily Operations,59,Facebook,Closed
18779337,2013,Gooyer,VP of Daily Operations,49,Webinar,Qualified
18904080,2019,Gooyer,Chief of Digital Marketing,49,Facebook,Qualified
18816722,2013,WestLand's Incorporated,Chief of Digital Marketing,85,Webinar,Contacting
18367818,2009,WestLand's Incorporated,Senior Director of B2B Marketing,92,LinkedIn,Open
18281170,2001,Brock Tech,Data Scientist,72,LinkedIn,Open
18438904,2009,Bryxham,Director of Marketing,56,Facebook,Contacting
18705769,2016,Brock Tech,Senior Director of B2B Marketing,38,Website,Closed
18392912,2016,Brock Tech,Head of Learning and Development,62,Email,Open
18858552,2013,Lexinton Rig Inc,Senior Director of B2B Marketing,95,Facebook,Qualified
18343243,2009,Gooyer,Business Analyst,40,Facebook,Open
18723312,2000,Circuit City,Head of Learning and Development,75,Twitter,Contacting
18584742,2019,HeidieX,Head of Learning and Development,79,Webinar,Open
18686014,2019,Gooyer,Head of Learning and Development,76,Twitter,Qualified
18788746,2005,Gooyer,Procurement Manager,59,Facebook,Contacting
18520644,2005,Regalchain,Director of Marketing,47,LinkedIn,Qualified
18756695,2005,Bryxham,Data Scientist,78,Webinar,Contacting
18288948,2000,Landon's  ,Procurement Manager,77,Webinar,Open
18642661,2009,Regalchain,Business Analyst,75,Website,Closed
18405131,2005,Marxel,Business Analyst,72,Facebook,Qualified
18209443,2001,Circuit City,Data Scientist,43,Facebook,Closed
18210306,2001,Bryxham,Head of Human Resources,63,Twitter,Open
18275138,2016,Lexinton Rig Inc,Procurement Manager,84,Email,Contacting
18176794,2004,Regalchain,Data Scientist,73,Instagram,Closed
18876880,2013,WestLand's Incorporated,Head of Learning and Development,77,Facebook,Open
18787086,2000,HeidieX,Business Analyst,76,Twitter,Qualified
18161557,2013,Gooyer,Financial Analyst,79,Facebook,Closed
18145069,2001,Gooyer,VP of Daily Operations,93,Facebook,Qualified
18202005,2001,Circuit City,Financial Analyst,65,Webinar,Qualified
18315118,2000,Polymeris,VP of Daily Operations,37,Webinar,Qualified
18869756,2019,Brock Tech,VP of Business,96,LinkedIn,Qualified
18913236,2004,Myxable Co.,Data Scientist,63,Email,Closed
18628060,2013,Bryxham,Financial Analyst,49,LinkedIn,Closed
18433975,2016,Bryxham,Business Analyst,47,Email,Contacting
18344334,2013,WestLand's Incorporated,Data Scientist,88,Email,Closed
18235994,2001,Landon's  ,Head of Learning and Development,84,LinkedIn,Qualified
18329139,2004,Lexinton Rig Inc,Business Analyst,54,Facebook,Contacting
18769769,2013,Polymeris,Director of Marketing,92,Instagram,Qualified
18193229,2013,Myxable Co.,President,54,Email,Open
18682981,2009,Regalchain,Financial Analyst,69,Webinar,Closed
18587416,2000,Regalchain,President,93,Facebook,Closed
18547961,2009,Landon's  ,VP of Daily Operations,57,LinkedIn,Closed
18870427,2005,Regalchain,Head of Learning and Development,91,LinkedIn,Closed
18966710,2001,Myxable Co.,Head of Learning and Development,57,Twitter,Open
18403655,2013,Gooyer,President,50,LinkedIn,Open
18717626,2009,Circuit City,Director of Marketing,54,LinkedIn,Contacting
18592078,2001,Gooyer,Data Scientist,60,LinkedIn,Open
18460896,2001,Myxable Co.,Procurement Manager,43,Twitter,Closed
18917621,2016,WestLand's Incorporated,Senior Director of B2B Marketing,70,LinkedIn,Qualified
18300069,2009,Bryxham,Financial Analyst,47,LinkedIn,Open
18568626,2005,WestLand's Incorporated,Contingent Worker,68,Webinar,Qualified
18805954,2009,HeidieX,CEO,68,Twitter,Contacting
18988941,2016,Brock Tech,Director of Marketing,69,Email,Open
18983752,2009,Polymeris,Senior Director of B2B Marketing,56,Twitter,Open
18346100,2005,Gooyer,Manager of Business Development,61,Webinar,Contacting
18416984,2004,Marxel,Head of Learning and Development,62,Webinar,Qualified
18763253,2019,Marxel,Procurement Manager,96,LinkedIn,Qualified
