,0,1,2,3
00:00.0,12.62609631,8.803119792,-11.80920018,10.08396113
00:09.6,10.83199404,2.816327018,11.55477769,21.89285289
00:19.2,21.08351002,-0.672644585,-17.8391781,-1.34902363
00:28.8,32.29449471,6.525131508,-13.4985857,-4.25075162
00:38.4,28.05709963,3.691358739,21.9847441,13.67056115
00:48.0,29.6466368,-3.522426427,3.364964078,-3.015832084
00:57.6,38.90267435,1.916521917,-10.84938527,-17.70224192
01:07.2,33.0526263,3.204628603,25.47491203,1.118644574
01:16.8,25.19055099,-5.460431184,22.95623418,-3.472718532
01:26.4,29.5542672,-3.325767344,-5.842398919,-25.12486958
01:36.0,274.0105218,1.815051193,19.83287182,-260.793867
01:45.6,9.400461673,-255.5663194,33.92571923,-1.680988642
01:55.2,8.050207528,-7.313308125,-0.864266881,-23.44508746
02:04.8,5.107827979,250.2020214,6.283819849,-17.87038579
02:14.4,-10.99511636,-3.537484687,32.6259617,2.237232982
02:24.0,-16.83286527,-8.55967177,2.595617243,-12.99524951
02:33.7,-15.35679981,-0.984112143,-10.86360129,-17.98235223
02:43.3,-27.15907144,0.057119904,19.94181004,256.8246593
02:52.9,-34.85498229,-6.749486457,4.215498895,2.530935998
03:02.5,-28.67584506,-1.45939881,-25.37839276,-11.74288371
03:12.1,-31.90253811,3.973742438,0.87800607,9.803639913
03:21.7,-38.62363372,-2.583972778,4.645993005,17.45960145
03:31.3,-29.29807524,-1.287900391,-31.58158682,-2.131712204
03:40.9,-22.86569435,6.765188309,-17.54360705,9.230523937
03:50.5,-26.6206393,2.307636825,4.909424246,26.13990508
04:00.1,-17.27508466,-0.899941253,-26.57330603,6.977052473
04:09.7,-3.615538422,7.19790203,-28.83568975,4.457336243
04:19.3,-3.807910972,6.152615458,5.53828605,25.31891864
04:28.9,1.920554975,-0.633847763,-11.56917153,12.35662449
04:38.5,17.82430869,5.004998149,-29.49231095,-3.283811074
04:48.1,20.29985635,257.6395093,6.126677119,15.18778098
04:57.7,269.8326045,-0.662310812,8.453306057,12.5669756
05:07.3,32.26132377,0.78817486,-19.97776931,-11.17318571
05:16.9,35.89926037,6.391693557,5.615296112,-0.458490273
05:26.5,28.72140469,-0.878156231,26.21189395,8.387366426
05:36.1,33.30628799,-3.94822824,-4.395369832,-15.86627118
05:45.7,36.66465529,2.950723778,2.962792918,-15.79818181
05:55.3,24.75679759,-0.880454794,35.139175,2.130175382
06:04.9,20.17514483,-7.457044045,11.35165709,-14.86863572
06:14.5,22.44842877,-1.249758778,-2.107582698,-25.2445803
06:24.1,9.905115407,-250.376933,31.5910037,-3.464228519
06:33.7,-1.886770134,-8.357284468,21.78509713,-7.842311647
06:43.3,-0.696668919,-4.65313204,-8.426521668,-25.34738457
06:52.9,-9.207404203,0.685703413,266.5056765,-6.361837071
07:02.5,-273.7478028,-6.215150945,23.81540154,3.140228552
07:12.1,-23.08057667,-6.161666351,-13.65466532,-16.28583747
07:21.7,-24.1242362,1.97294005,-4.820733188,-6.111612517
07:31.3,-36.13715117,-1.745929405,17.73021548,14.12949626
07:41.0,-35.53390746,-5.401938902,-15.16235371,-1.608319232
07:50.6,-28.20791211,3.023909134,-274.7051678,-3.722911759
08:00.2,-33.68178026,3.477831141,6.593725503,20.67236021
08:09.8,-33.10853254,-2.86679316,-11.24208542,13.11072874
08:19.4,-19.69297256,3.104795165,-35.90420884,-0.92178525
08:29.0,-17.095087,7.506814659,-5.144906205,19.82382486
08:38.6,-17.1201506,0.293312459,-2.212919435,22.54653448
08:48.2,-2.237950578,1.937821164,-34.25849813,0.677373744
08:57.8,6.884982616,8.881538426,-13.38277041,11.38435409
09:07.4,5.493840588,2.963359043,9.34079823,23.47343115
09:17.0,16.39575554,-0.287430009,-20.4121613,0.509355596
09:26.6,28.44612709,7.01245247,-16.03277529,-2.028915876
09:36.2,25.20423672,4.239529884,19.32295975,15.96099503
09:45.8,28.02503886,-2.883179801,0.600096226,-0.802812767
09:55.4,38.52057174,2.639052514,-13.20477627,-15.46076551
10:05.0,33.87373574,3.88498944,23.49142726,3.192561704
10:14.6,27.29768558,-4.81950906,21.12534566,-1.879363668
